"","Var1","Freq"
"1","Cat",75
"2","Domestic dog",3082
"3","Human",6
"4","Livestock: Cow",153
"5","Livestock: Donkey",13
"6","Livestock: Goat",118
"7","Livestock: Pig",4
"8","Livestock: Sheep",23
"9","Other",1
"10","Unknown",3
"11","Wildlife: Baboon",1
"12","Wildlife: Banded mongoose",1
"13","Wildlife: Bat eared fox",2
"14","Wildlife: Civet",9
"15","Wildlife: Dwarf mongoose",2
"16","Wildlife: Genet",5
"17","Wildlife: Honey badger",11
"18","Wildlife: Hyena",12
"19","Wildlife: Jackal",60
"20","Wildlife: Leopard",4
"21","Wildlife: Serval",3
"22","Wildlife: Striped hyena",2
"23","Wildlife: White tailed mongoose",24
"24","Wildlife: Wild cat",4
"25","Wildlife: Wildebeest",1
