caseID,strainID
10,1
14,2
31,3
33,4
118,5
131,6
153,7
180,8
183,9
193,10
196,11
212,12
224,13
231,14
234,15
238,16
351,17
357,18
380,19
401,20
483,21
881,22
923,23
928,24
1064,25
1066,26
1069,27
1072,28
1105,29
1171,30
1300,31
1341,32
1351,33
1404,34
1556,35
1563,36
1611,37
1892,38
1930,39
1956,40
1957,41
1960,42
1977,43
1980,44
1990,45
2012,46
2018,47
2063,48
2145,49
2156,50
2165,51
2175,52
2243,53
2244,54
2246,55
2357,56
2383,57
2397,58
2421,59
2432,60
2530,61
2618,62
2650,63
2679,64
2809,65
2829,66
2998,67
3042,68
3072,69
3116,70
3178,71
3179,72
3243,73
3449,74
3481,75
3494,76
3496,77
3502,78
3553,79
3559,80
3683,81
3756,82
3776,83
3780,84
3783,85
3789,86
3790,87
3793,88
3796,89
3799,90
3826,91
3829,92
3842,93
3877,94
3885,95
3905,96
3911,97
3927,98
3928,99
3945,100
3949,101
3964,102
3976,103
3997,104
4010,105
4026,106
4064,107
4068,108
4086,109
4109,110
4116,111
4125,112
4127,113
4128,114
4139,115
4151,116
4158,117
4168,118
4169,119
4173,120
4182,121
4190,122
4192,123
4206,124
4211,125
4214,126
4237,127
4248,128
4282,129
4285,130
4288,131
4343,132
4367,133
4402,134
4607,135
4634,136
4681,137
4708,138
5015,139
5018,140
5172,141
5746,142
5832,143
5833,144
6103,145
6147,146
6183,147
6252,148
6434,149
6561,150
6569,151
6595,152
6691,153
6696,154
6697,155
6699,156
6820,157
6860,158
6876,159
7185,160
7285,161
7380,162
7382,163
7542,164
7562,165
7803,166
7864,167
7872,168
7920,169
8065,170
8074,171
8191,172
8198,173
8301,174
8318,175
8360,176
8539,177
8583,178
8718,179
8926,180
8966,181
8991,182
9002,183
9049,184
9051,185
9056,186
9065,187
9140,188
9187,189
9225,190
9240,191
9296,192
9347,193
9423,194
9457,195
9471,196
9485,197
9502,198
9527,199
9551,200
9555,201
9564,202
10103,203
10114,204
10126,205
10179,206
10268,207
10444,208
10510,209
10699,210
10758,211
10817,212
10821,213
10938,214
10946,215
11102,216
11129,217
11301,218
11305,219
11311,220
11312,221
11319,222
11320,223
11322,224
11324,225
11332,226
11334,227
11434,228
1981,229
2258,230
2275,231
2573,232
4231,233
8101,234
8105,235
8106,236
10169,237
11184,238
